iter	Passed	Remaining
0	2364	2361770
1	4891	2441039
2	6603	2194447
3	8615	2145378
4	10667	2122925
5	12245	2028616
6	14088	1998502
7	16406	2034358
8	18337	2019176
9	20069	1986873
10	22035	1981165
11	23776	1957562
12	25547	1939666
13	27381	1928472
14	29413	1931518
15	31023	1907973
16	32694	1890511
17	34648	1890250
18	36472	1883145
19	38105	1867153
20	39744	1852830
21	41332	1837429
22	42986	1825998
23	44644	1815542
24	46457	1811859
25	48169	1804510
26	49757	1793117
27	51368	1783228
28	53131	1778981
29	54729	1769596
30	56540	1767336
31	58216	1761063
32	60066	1760127
33	61749	1754405
34	63443	1749234
35	65131	1744089
36	66908	1741419
37	68651	1737959
38	70216	1730208
39	72082	1729981
40	73833	1726974
41	75570	1723730
42	77235	1718936
43	78944	1715250
44	80625	1711046
45	82300	1706834
46	84067	1704609
47	85829	1702280
48	87407	1696420
49	89077	1692469
50	90890	1691272
51	92748	1690869
52	94347	1685790
53	95944	1680812
54	97517	1675528
55	99240	1672904
56	101039	1671589
57	102824	1670005
58	104511	1666863
59	106153	1663079
60	107915	1661189
61	109588	1657960
62	111240	1654480
63	113108	1654215
64	114815	1651581
65	116461	1648106
66	118223	1646303
67	119998	1644688
68	121733	1642523
69	123370	1639068
70	124964	1635093
71	126534	1630892
72	128268	1628837
73	130011	1626905
74	131690	1624183
75	133358	1621352
76	135203	1620691
77	137099	1620586
78	139065	1621261
79	140839	1619655
80	142680	1618807
81	144390	1616467
82	146211	1615375
83	148082	1614802
84	149920	1613849
85	151747	1612757
86	153591	1611830
87	155238	1608837
88	157023	1607286
89	158971	1607376
90	160839	1606624
91	162727	1606046
92	164804	1607289
93	166605	1605791
94	168543	1605598
95	170493	1605477
96	172241	1603441
97	174189	1603250
98	176121	1602881
99	178116	1603044
100	180012	1602285
101	181783	1600407
102	183483	1597911
103	185137	1595031
104	186835	1592550
105	188546	1590196
106	190161	1587044
107	191853	1584571
108	193509	1581808
109	195188	1579254
110	196933	1577242
111	198880	1576837
112	200336	1572556
113	202067	1570455
114	203653	1567245
115	205398	1565280
116	207328	1564710
117	209345	1564769
118	211068	1562619
119	212840	1560832
120	214526	1558417
121	216182	1555802
122	218053	1554741
123	219829	1552992
124	221351	1549463
125	223051	1547199
126	224759	1545001
127	226456	1542736
128	228290	1541400
129	229980	1539098
130	231512	1535755
131	233036	1532391
132	234646	1529610
133	236361	1527529
134	237953	1524662
135	239733	1523015
136	241390	1520583
137	243078	1518357
138	244683	1515629
139	246415	1513692
140	248055	1511205
141	249782	1509250
142	251371	1506470
143	253047	1504224
144	254712	1501927
145	256372	1499605
146	258182	1498161
147	259823	1495740
148	261499	1493528
149	263261	1491815
150	265169	1490919
151	267049	1489854
152	268789	1488006
153	270731	1487264
154	272456	1485329
155	274130	1483115
156	275863	1481230
157	277586	1479292
158	279223	1476897
159	280852	1474475
160	282470	1472003
161	284128	1469750
162	285613	1466618
163	287281	1464437
164	288920	1462112
165	290640	1460205
166	292266	1457834
167	294154	1456765
168	295797	1454483
169	297485	1452429
170	299233	1450669
171	300909	1448564
172	302480	1445959
173	304315	1444624
174	306037	1442748
175	307747	1440820
176	309333	1438312
177	311069	1436510
178	312640	1433954
179	314321	1431908
180	316007	1429888
181	317611	1427504
182	319261	1425336
183	321025	1423676
184	322786	1422005
185	324411	1419734
186	326119	1417833
187	327790	1415777
188	329512	1413941
189	331255	1412192
190	333228	1411421
191	334941	1409547
192	336520	1407107
193	338159	1404929
194	339723	1402448
195	341303	1400040
196	343079	1398441
197	344816	1396682
198	346581	1395035
199	348273	1393094
200	349962	1391144
201	351557	1388825
202	353191	1386669
203	354795	1384399
204	356378	1382053
205	358074	1380150
206	359629	1377710
207	361337	1375860
208	363107	1374247
209	364777	1372256
210	366518	1370534
211	368267	1368844
212	370019	1367159
213	371620	1364923
214	373359	1363194
215	375013	1361158
216	376841	1359753
217	378619	1358165
218	380217	1355935
219	381840	1353799
220	383482	1351734
221	385090	1349550
222	386671	1347281
223	388302	1345189
224	389862	1342860
225	391793	1341806
226	393608	1340350
227	395240	1338268
228	397004	1336639
229	398809	1335145
230	400634	1333714
231	402167	1331311
232	403759	1329114
233	405574	1327649
234	407231	1325667
235	408957	1323914
236	410635	1322003
237	412306	1320072
238	414007	1318241
239	415550	1315909
240	417465	1314755
241	419179	1312968
242	421075	1311744
243	422794	1309968
244	424508	1308179
245	426162	1306206
246	427808	1304208
247	429518	1302411
248	431128	1300311
249	432682	1298046
250	434414	1296321
251	436205	1294769
252	437943	1293059
253	439689	1291371
254	441472	1289792
255	443191	1288025
256	444694	1285634
257	446456	1283996
258	448148	1282155
259	449958	1280651
260	451651	1278813
261	453300	1276852
262	454967	1274947
263	456676	1273157
264	458439	1271520
265	460248	1270009
266	461915	1268104
267	463603	1266260
268	465404	1264722
269	467171	1263093
270	468882	1261311
271	470528	1259356
272	472293	1257719
273	473890	1255637
274	475646	1253976
275	477298	1252044
276	478957	1250130
277	480508	1247938
278	482095	1245846
279	483898	1244311
280	485616	1242557
281	487418	1241014
282	489075	1239107
283	490868	1237540
284	492444	1235429
285	494248	1233893
286	496011	1232251
287	497718	1230471
288	499335	1228470
289	501092	1226813
290	502873	1225214
291	504584	1223445
292	506341	1221786
293	507986	1219858
294	509564	1217773
295	511416	1216343
296	513044	1214377
297	514741	1212577
298	516491	1210903
299	518154	1209028
300	519806	1207124
301	521304	1204869
302	523135	1203383
303	524857	1201648
304	526560	1199868
305	528224	1198000
306	529910	1196183
307	531526	1194209
308	533367	1192740
309	535114	1191060
310	536904	1189476
311	538598	1187678
312	540386	1186087
313	542207	1184568
314	543895	1182756
315	545599	1180980
316	547187	1178956
317	548900	1177202
318	550695	1175623
319	552568	1174207
320	554357	1172613
321	556287	1171313
322	557920	1169388
323	559656	1167679
324	561221	1165614
325	562842	1163667
326	564468	1161734
327	566057	1159727
328	567576	1157580
329	569238	1155726
330	570883	1153839
331	572523	1151944
332	574170	1150065
333	575801	1148155
334	577384	1146151
335	578893	1144003
336	580604	1142258
337	582395	1140668
338	584179	1139063
339	585874	1137286
340	587525	1135422
341	589362	1133919
342	590954	1131944
343	592626	1130125
344	594305	1128319
345	595897	1126348
346	597517	1124434
347	599105	1122461
348	600767	1120630
349	602360	1118668
350	604094	1116971
351	605738	1115109
352	607287	1113073
353	608901	1111158
354	610449	1109126
355	611968	1107044
356	613552	1105081
357	615177	1103195
358	616573	1100900
359	618095	1098836
360	619821	1097135
361	621530	1095404
362	623052	1093345
363	624759	1091612
364	626367	1089708
365	627955	1087769
366	629537	1085823
367	631035	1083734
368	632620	1081798
369	634347	1080105
370	635911	1078136
371	637572	1076332
